Func_id	Func_name	Cen01	Cen03	Cen04	Cen05	Cen06	Cen07	Cen10	Cen12	Cen14	Cen15	Cen16	Cen17
COG0111	Phosphoglycerate dehydrogenase or related dehydrogenase	7927	10665	10771	9846	7355	8672	3051	2603	3646	3593	8162	10106
COG0112	Glycine/serine hydroxymethyltransferase	3436	4397	4719	4561	3134	4098	1389	1112	1686	1569	3430	3887
COG0113	"Delta-aminolevulinic acid dehydratase, porphobilinogen synthase"	2358	3211	3308	3245	2254	2799	1040	830	1174	1169	2424	2957
COG0114	Fumarate hydratase class II	2704	3980	4017	3995	2728	3244	1082	899	1307	1269	2609	3440
COG0115	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase	5144	7322	7146	6909	5148	5944	2111	1736	2598	2565	5660	7270
COG0116	23S rRNA G2445 N2-methylase RlmL	1148	1484	1503	1381	1160	1330	300	409	501	525	1139	1671
COG0117	Pyrimidine deaminase domain of riboflavin biosynthesis protein RibD	1297	1932	1920	1932	1316	1569	550	449	663	641	1482	1833
COG0118	Imidazoleglycerol phosphate synthase glutamine amidotransferase subunit HisH	1827	2515	2610	2453	1761	2081	778	610	890	841	1927	2497
COG0119	Isopropylmalate/homocitrate/citramalate synthases	6855	8265	9318	8264	5912	7004	2688	2280	3283	2915	6383	7620
COG0120	Ribose 5-phosphate isomerase	1375	2060	2098	2151	1471	1685	624	506	640	608	1182	1441
COG0121	Predicted glutamine amidotransferase	719	806	746	749	583	573	311	170	277	293	671	856
COG0122	3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase	3341	4665	4700	4475	2991	3694	1355	1004	1559	1400	3451	4461
COG0123	Acetoin utilization deacetylase AcuC or a related deacetylase	3514	4298	4451	4116	3149	3503	1322	1131	1654	1546	3336	4546
COG0124	Histidyl-tRNA synthetase	3975	5185	5834	5345	3705	4724	1583	1294	1946	1862	4185	5120
COG0125	Thymidylate kinase	3033	4167	4371	4402	2697	3566	1149	1008	1492	1399	3199	4000
COG0126	3-phosphoglycerate kinase	3220	4611	5004	4498	3144	4117	1429	1054	1631	1580	3290	4078
COG0127	"Inosine/xanthosine triphosphate pyrophosphatase, all-alpha NTP-PPase family"	2084	2904	2965	2854	1988	2382	873	717	1024	995	2214	2714
COG0128	5-enolpyruvylshikimate-3-phosphate synthase	3642	5196	5422	5080	3585	4213	1610	1174	1841	1695	3547	4954
COG0129	Dihydroxyacid dehydratase/phosphogluconate dehydratase	7115	9289	9202	9290	6728	7483	3088	2208	3042	3099	6363	8466
COG0130	"tRNA U55 pseudouridine synthase TruB, may also work on U342 of tmRNA"	2148	3094	3181	3109	2178	2609	947	779	1107	1033	2301	2973
COG0131	Imidazoleglycerol phosphate dehydratase HisB	1507	1993	2018	1807	1407	1589	668	502	719	754	1688	1971
COG0132	Dethiobiotin synthetase	1014	1580	1449	1571	1097	1306	390	342	490	505	1097	1361
COG0133	Tryptophan synthase beta chain	2446	3213	3442	3264	2385	2782	1028	851	1250	1175	2432	3159
COG0134	Indole-3-glycerol phosphate synthase	2110	3016	3178	2848	1955	2402	885	689	1046	1003	2223	3011
COG0135	Phosphoribosylanthranilate isomerase	2008	2849	2989	2836	1984	2257	826	648	983	969	2111	2827
COG0136	Aspartate-semialdehyde dehydrogenase	2999	4349	4716	4596	3116	3671	1218	1058	1533	1440	3038	4143
COG0137	Argininosuccinate synthase	2583	3464	3601	3334	2375	2912	995	903	1329	1257	2713	3474
COG0138	AICAR transformylase/IMP cyclohydrolase PurH	4418	5939	6157	5826	4054	4903	1913	1518	2311	2106	4389	5834
COG0139	Phosphoribosyl-AMP cyclohydrolase	1046	1376	1435	1353	1010	1172	497	398	564	551	1146	1217
COG0140	Phosphoribosyl-ATP pyrophosphohydrolase	528	744	691	624	549	607	244	213	247	322	735	734
COG0141	Histidinol dehydrogenase	3466	4963	4961	4752	3437	3849	1592	1076	1683	1572	3395	4473
COG0142	Geranylgeranyl pyrophosphate synthase	4738	6231	6532	6105	4541	5191	2106	1712	2382	2245	4885	6095
COG0143	Methionyl-tRNA synthetase	4863	6484	6778	6182	4299	5486	1781	1515	2269	2188	4782	6175
COG0144	"16S rRNA C967 or C1407 C5-methylase, RsmB/RsmF family"	2527	3944	3699	3845	2898	3289	1154	891	1239	1262	2823	3911
COG0145	"N-methylhydantoinase A/oxoprolinase/acetone carboxylase, beta subunit"	9932	13586	13481	11910	9040	11015	4136	3302	4548	4292	11075	11430
COG0146	"N-methylhydantoinase B/oxoprolinase/acetone carboxylase, alpha subunit"	8622	11927	11430	10137	8049	9863	3676	3034	4269	3949	10195	9774
COG0147	Anthranilate/para-aminobenzoate synthases component I	4119	5820	5664	5385	4018	4567	1669	1305	1956	1926	4366	5976
COG0148	Enolase	3328	4437	4857	4658	3334	3965	1598	1206	1665	1614	3541	4102
COG0149	Triosephosphate isomerase	2175	3029	3213	3107	2179	2740	972	741	1053	1040	2296	2739
COG0150	Phosphoribosylaminoimidazole (AIR) synthetase	2503	3500	3660	3386	2377	2866	1040	862	1294	1156	2594	3363
COG0151	Phosphoribosylamine-glycine ligase	3898	5407	5505	5325	3643	4359	1533	1111	1816	1664	3674	5322
COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase	1993	2929	2970	2835	2034	2368	900	700	1058	998	2166	2618
COG0153	Galactokinase	2301	2843	2843	2652	2018	2138	975	658	1188	1000	2000	3009
COG0154	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase	20687	28605	29951	27940	19853	23224	7424	6227	8831	8862	20725	27674
COG0155	"Sulfite reductase, beta subunit (hemoprotein)"	3882	5115	5262	5274	3636	4067	1608	1280	1842	1899	3730	4510
COG0156	7-keto-8-aminopelargonate synthetase or related enzyme	5227	7631	7517	7671	5614	6313	1862	1686	2370	2464	5366	7264
COG0157	Nicotinate-nucleotide pyrophosphorylase	2209	3266	3146	3066	2169	2514	894	752	1117	1007	2281	3118
COG0158	"Fructose-1,6-bisphosphatase"	650	1003	955	1012	822	834	316	246	279	351	646	1114
COG0159	Tryptophan synthase alpha chain	2263	3038	3211	2970	2108	2415	962	761	1145	1045	2260	3062
COG0160	4-aminobutyrate aminotransferase or related aminotransferase	6472	8883	9182	8515	5864	6827	2150	1867	2874	2717	5659	8852
COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	6106	8420	8398	7865	6039	6896	2258	1858	2589	2650	5950	7990
COG0162	Tyrosyl-tRNA synthetase	3078	4332	4790	4398	3038	4047	1342	1004	1547	1483	3366	4291
COG0163	3-polyprenyl-4-hydroxybenzoate decarboxylase	1214	1843	1864	1763	1248	1466	501	421	664	579	1327	1770
COG0164	Ribonuclease HII	1768	2547	2649	2595	1815	2222	787	623	987	936	2062	2424
COG0165	Argininosuccinate lyase	3391	4703	4870	4573	3277	3743	1397	1085	1629	1640	3409	4771
COG0166	Glucose-6-phosphate isomerase	3116	4522	4638	4368	3114	3833	1279	1087	1591	1545	3431	4472
COG0167	Dihydroorotate dehydrogenase	3959	5408	5736	5452	3869	4726	1487	1314	1853	1819	4119	5693
COG0168	"Trk-type K+ transport system, membrane component"	243	408	292	407	293	377	99	87	102	95	316	395
COG0169	Shikimate 5-dehydrogenase	3294	4568	4644	4311	3128	3709	1365	999	1487	1423	3298	4834
COG0170	Dolichol kinase	119	136	136	146	112	135	25	41	55	61	153	223
COG0171	NH3-dependent NAD+ synthetase	2222	2924	3129	2984	2104	2606	923	801	1157	1115	2380	3065
COG0172	Seryl-tRNA synthetase	3893	5515	5618	5287	3868	4845	1669	1352	1918	1968	4085	4934
COG0173	Aspartyl-tRNA synthetase	3822	5484	5959	5441	3844	4732	1471	1299	1980	1931	4049	5650
COG0174	Glutamine synthetase	7576	9160	9456	8680	6214	7242	2929	2301	3448	3309	6950	8166
COG0175	3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase or related enzyme	2965	4184	4001	4151	2896	3385	1380	1048	1609	1555	3213	3636
COG0176	Transaldolase	3251	4507	4929	4528	3158	3807	1266	1089	1664	1419	3289	3940
COG0177	Endonuclease III	2604	3192	3519	3111	2387	2803	1224	978	1440	1234	2917	3419
COG0178	Excinuclease UvrABC ATPase subunit	11282	15335	15755	15055	11417	13317	3816	3337	5173	5325	11095	15400
COG0179	"2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)"	6799	9316	8969	8946	6426	7256	3109	2329	3203	3136	6825	7664
COG0180	Tryptophanyl-tRNA synthetase	2819	3848	3910	3692	2709	3330	1182	947	1400	1428	3084	3587
COG0181	Porphobilinogen deaminase	2614	3702	3776	3641	2514	3034	1117	867	1305	1258	2667	3461
COG0182	"Methylthioribose-1-phosphate isomerase (methionine salvage pathway), a paralog of eIF-2B alpha subunit"	2117	2888	3075	2870	2055	2327	854	765	1097	1026	2188	2741
COG0183	Acetyl-CoA acetyltransferase	15414	19562	20197	18827	13444	15680	6105	4627	6826	6776	15357	18136
COG0184	Ribosomal protein S15P/S13E	833	1117	1115	1049	849	1043	422	361	518	493	1105	1013
COG0185	Ribosomal protein S19	719	952	980	946	732	901	385	322	437	388	1033	816
COG0186	Ribosomal protein S17	839	1118	1179	1103	822	1000	397	356	519	441	1112	1060
COG0187	"DNA gyrase/topoisomerase IV, subunit B"	5925	8229	8269	7876	6042	7439	2419	1990	2723	2868	6453	7520
COG0188	"DNA gyrase/topoisomerase IV, subunit A"	7028	9619	10227	9350	7019	8758	2746	2356	3258	3444	7271	9074
COG0189	"Glutathione synthase/RimK-type ligase, ATP-grasp superfamily"	2525	3066	3230	3034	2431	2769	911	920	1169	1228	2762	3103
COG0190	"5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase"	2871	3957	4151	3894	2737	3427	1244	938	1421	1360	2989	3584
COG0191	Fructose/tagatose bisphosphate aldolase	1211	1794	1754	1681	1179	1393	516	294	487	541	1359	1607
COG0192	S-adenosylmethionine synthetase	2403	3281	3416	3212	2395	2867	1064	888	1353	1179	2769	3258
COG0193	Peptidyl-tRNA hydrolase	1769	2498	2576	2280	1699	2174	735	608	967	870	1994	2420
COG0194	Guanylate kinase	1987	2740	2718	2551	1914	2301	814	688	1032	934	2195	2579
COG0195	"Transcription antitermination factor NusA, contains S1 and KH domains"	1232	1645	1802	1628	1202	1525	570	476	686	647	1593	1514
COG0196	FAD synthase	2718	3842	3997	4032	2674	3199	1181	856	1380	1318	2795	3773
COG0197	Ribosomal protein L16/L10AE	979	1375	1454	1359	1021	1269	475	411	565	546	1282	1134
COG0198	Ribosomal protein L24	894	1182	1226	1138	868	1081	416	366	514	467	1130	1050
COG0199	Ribosomal protein S14	561	778	687	718	569	645	330	271	347	324	819	674
COG0200	Ribosomal protein L15	1161	1662	1655	1564	1125	1477	537	475	663	604	1489	1415
COG0201	Preprotein translocase subunit SecY	2891	3904	4256	3794	2805	3585	1129	1044	1482	1382	3039	3402
COG0202	"DNA-directed RNA polymerase, alpha subunit/40 kD subunit"	2048	2743	2951	2637	1967	2584	854	806	1106	1024	2428	2551
COG0203	Ribosomal protein L17	1123	1585	1586	1485	1113	1379	468	423	638	567	1388	1504
COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase	5421	7342	7405	7073	5045	5816	2192	1723	2711	2532	6037	8121
COG0205	6-phosphofructokinase	3234	4156	4494	4038	3074	3625	1082	1057	1554	1477	3250	4774
COG0206	Cell division GTPase FtsZ	2045	2700	3174	2804	2006	2569	926	796	1216	1059	2578	2686
COG0207	Thymidylate synthase	1037	1390	1424	1489	1009	1368	320	316	409	489	1126	1431
COG0208	"Ribonucleotide reductase beta subunit, ferritin-like domain"	1035	1225	1244	1214	1037	1334	651	407	491	521	1184	858
COG0209	Ribonucleotide reductase alpha subunit	4249	5430	5908	5879	4243	5619	1977	1743	2183	2251	5044	4648
COG0210	Superfamily I DNA or RNA helicase	11065	13069	14596	13299	8927	11572	4125	3099	4775	4493	10183	13536
COG0211	Ribosomal protein L27	824	1066	1126	1063	823	973	378	375	479	428	1109	950
COG0212	5-formyltetrahydrofolate cyclo-ligase	826	1353	1106	1174	953	934	436	276	371	454	949	1260
COG0213	Thymidine phosphorylase	2123	2559	2845	2670	1848	2195	787	641	971	934	2082	2785
COG0214	Pyridoxal biosynthesis lyase PdxS	989	1185	1193	1166	739	941	531	359	569	432	1041	844
COG0215	Cysteinyl-tRNA synthetase	5056	6190	7063	6406	4299	5561	2153	1617	2498	2246	4938	5872
COG0216	Protein chain release factor A	2890	3895	4198	3926	2796	3443	1183	969	1520	1351	3182	3865
COG0217	Transcriptional and/or translational regulatory protein YebC/TACO1	2106	3001	2942	2764	2020	2572	849	745	1083	1058	2441	2775
COG0218	GTP-binding protein EngB required for normal cell division	829	1454	1373	1360	1026	1219	367	315	457	510	958	1354
COG0219	"tRNA(Leu) C34 or U34 (ribose-2'-O)-methylase TrmL, contains SPOUT domain"	643	1011	921	923	751	841	229	221	294	352	774	1071
COG0220	tRNA G46 methylase TrmB	1287	1738	1719	1662	1427	1517	405	417	540	590	1309	1821
COG0221	Inorganic pyrophosphatase	1688	2195	2116	1952	1805	1954	853	644	1056	869	1975	1580
COG0222	Ribosomal protein L7/L12	987	1244	1281	1182	910	1115	463	419	560	507	1324	1132
COG0223	Methionyl-tRNA formyltransferase	3816	5441	5827	5509	3753	4556	1460	1266	1933	1837	4134	5592
COG0224	"FoF1-type ATP synthase, gamma subunit"	2436	3652	3728	3565	2559	3111	1030	892	1336	1208	2878	3463
COG0225	Peptide methionine sulfoxide reductase MsrA	2442	3503	3666	3661	2505	3029	1011	789	1091	1129	2566	3278
COG0226	"ABC-type phosphate transport system, periplasmic component"	4313	5810	5954	6018	3975	4411	1461	1329	1828	1695	3803	4884
COG0227	Ribosomal protein L28	599	839	784	770	593	720	310	269	345	341	886	778
COG0228	Ribosomal protein S16	904	1245	1291	1207	887	1088	410	353	520	477	1234	1166
COG0229	Peptide methionine sulfoxide reductase MsrB	1700	2708	2531	2754	1864	2148	668	573	774	792	1894	2318
COG0230	Ribosomal protein L34	172	214	209	221	182	191	115	78	98	89	214	192
COG0231	Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)	1309	1798	1951	1815	1414	1691	581	541	746	763	1649	1749
COG0232	dGTP triphosphohydrolase	2076	2876	2849	2877	2046	2163	867	648	962	960	2077	2344
COG0233	Ribosome recycling factor	1627	2380	2378	2244	1646	2066	716	610	851	813	1953	2122
COG0234	Co-chaperonin GroES (HSP10)	1578	2136	2121	2103	1603	1930	637	632	891	838	2154	1984
COG0235	Ribulose-5-phosphate 4-epimerase/Fuculose-1-phosphate aldolase	4115	6076	5620	5644	4155	4678	2047	1428	1984	1915	4527	5007
COG0236	Acyl carrier protein	4429	5635	5722	5730	4242	4735	1731	1776	2051	2105	5584	5000
COG0237	Dephospho-CoA kinase	2169	3145	3148	2918	2030	2440	884	716	1100	1047	2243	2850
