LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
ARSM_HALSA, (O52025) (ARSM_HALSA)
OLD94308.1, Candidatus_Rokubacteria_bacterium_13_1_20CM_4_68_9 (OLD94308.1)
OLE15454.1, Acidobacteria_bacterium_13_1_20CM_4_57_11 (OLE15454.1)
OLE46038.1, Acidobacteria_bacterium_13_1_20CM_3_58_11 (OLE46038.1)
OLE72196.1, Actinobacteria_bacterium_13_1_20CM_2_66_18 (OLE72196.1)
OWU64945.1, Armatimonadetes_bacterium_Cent15-Ar3 (OWU64945.1)
WP_007911582.1, Ktedonobacter_racemifer (WP_007911582.1)
WP_012682192.1, Gemmatimonas_aurantiaca (WP_012682192.1)
WP_013565436.1, Isosphaera_pallida (WP_013565436.1)
WP_013629311.1, Rubinisphaera_brasiliensis (WP_013629311.1)
WP_014783972.1, Terriglobus_roseus (WP_014783972.1)
WP_018084905.1, Desulfurispora_thermophila (WP_018084905.1)
WP_020715660.1, Acidobacteriaceae_bacterium_KBS_89 (WP_020715660.1)
WP_020719086.1, Acidobacteriaceae_bacterium_KBS_96 (WP_020719086.1)
WP_020722282.1, Acidobacteriaceae_bacterium_KBS_96 (WP_020722282.1)
WP_022872887.1, Nesterenkonia_alba (WP_022872887.1)
WP_022929385.1, Patulibacter_americanus (WP_022929385.1)
WP_024840951.1, Cellulosimicrobium_cellulans (WP_024840951.1)
WP_026446224.1, Acidobacteriaceae_bacterium_URHE0068 (WP_026446224.1)
WP_034715040.1, Intrasporangium_chromatireducens (WP_034715040.1)
WP_037234292.1, Rhodomicrobium_udaipurense (WP_037234292.1)
WP_041039517.1, Magnetospirillum_magnetotacticum (WP_041039517.1)
WP_046368067.1, Flavihumibacter_petaseus (WP_046368067.1)
WP_052668611.1, Nitriliruptor_alkaliphilus (WP_052668611.1)
WP_054238281.1, Actinobacteria_bacterium_OV320 (WP_054238281.1)
WP_062019313.1, Streptomyces_phaeopurpureus (WP_062019313.1)
WP_063701967.1, Bradyrhizobium_sp._BR_10245 (WP_063701967.1)
WP_068504729.1, Magnetospirillum_moscoviense (WP_068504729.1)
WP_074653934.1, Terriglobus_roseus (WP_074653934.1)
WP_090106829.1, Chitinophaga_sp._CF118 (WP_090106829.1)
