LABELS
SEPARATOR COMMA
DATA
#NODE_ID,LABEL
ARSC1_ECOLX, (P08692) (ARSC1_ECOLX)
CCP10171.1, Stenotrophomonas_maltophilia_SKK35 (CCP10171.1)
CEJ16142.1, bacterium_YEK0313 (CEJ16142.1)
CEJ87970.1, Hyphomicrobium_sp._GJ21 (CEJ87970.1)
EFI61188.1, Comamonas_testosteroni_S44 (EFI61188.1)
ELT95616.1, Capitella_teleta (ELT95616.1)
ESZ87049.1, Blastomonas_sp._CACIA14H2 (ESZ87049.1)
EXS70602.1, Sphingobium_sp._Ant17 (EXS70602.1)
GAN79037.1, Acidocella_aminolytica_101_=_DSM_11237 (GAN79037.1)
KGJ12750.1, Paracoccus_versutus (KGJ12750.1)
KIL98440.1, Magnetospirillum_magnetotacticum_MS-1 (KIL98440.1)
KMS58887.1, Novosphingobium_barchaimii_LL02 (KMS58887.1)
KPD16005.1, Burkholderia_sp._ST111 (KPD16005.1)
KPD20177.1, Burkholderia_sp._ST111 (KPD20177.1)
KPK10685.1, Acidithiobacillales_bacterium_SG8_45 (KPK10685.1)
KPK35568.1, Betaproteobacteria_bacterium_SG8_40 (KPK35568.1)
KQM28251.1, Sphingomonas_sp._Leaf9 (KQM28251.1)
KQM81127.1, Sphingomonas_sp._Leaf23 (KQM81127.1)
KRC81041.1, Sphingomonas_sp._Root241 (KRC81041.1)
KXJ40328.1, Methylothermaceae_bacteria_B42 (KXJ40328.1)
KXS37725.1, Halomonadaceae_bacterium_T82-2 (KXS37725.1)
OAI42923.1, Rhizomicrobium_sp._SCGC_AG-212-E05 (OAI42923.1)
ODS67810.1, Bordetella_sp._SCN_67-23 (ODS67810.1)
ODT33930.1, Lautropia_sp._SCN_70-15 (ODT33930.1)
ODT61804.1, Phenylobacterium_sp._SCN_69-14 (ODT61804.1)
ODT87382.1, Phenylobacterium_sp._SCN_70-31 (ODT87382.1)
ODT87880.1, Phenylobacterium_sp._SCN_70-31 (ODT87880.1)
ODU12628.1, Pseudonocardia_sp._SCN_72-51 (ODU12628.1)
ODU20412.1, Sphingomonas_sp._SCN_67-18 (ODU20412.1)
ODU93413.1, Rhodanobacter_sp._SCN_66-43 (ODU93413.1)
ODU99190.1, Rubrivivax_sp._SCN_70-15 (ODU99190.1)
ODV27838.1, Rhodanobacter_sp._SCN_68-63 (ODV27838.1)
ODV42113.1, Cupriavidus_sp._UYMMa02A (ODV42113.1)
OGI41670.1, Candidatus_Muproteobacteria_bacterium_RBG_16_64_11 (OGI41670.1)
OGI66597.1, Candidatus_Muproteobacteria_bacterium_RBG_16_60_9 (OGI66597.1)
OGT33689.1, Gammaproteobacteria_bacterium_RBG_16_51_14 (OGT33689.1)
OJU19757.1, Afipia_sp._62-7 (OJU19757.1)
OJU37555.1, Alphaproteobacteria_bacterium_65-37 (OJU37555.1)
OJU55790.1, Alphaproteobacteria_bacterium_62-8 (OJU55790.1)
OJU58181.1, Alphaproteobacteria_bacterium_62-8 (OJU58181.1)
OJW27729.1, Rhodospirillales_bacterium_69-11 (OJW27729.1)
OJW30458.1, Rhodospirillales_bacterium_69-11 (OJW30458.1)
OJW64494.1, Afipia_sp._64-13 (OJW64494.1)
OJW72047.1, Sphingomonadales_bacterium_63-6 (OJW72047.1)
OJW94523.1, Burkholderiales_bacterium_67-32 (OJW94523.1)
OJY08810.1, Nitrosospira_sp._56-18 (OJY08810.1)
OJY11240.1, Rhizobiales_bacterium_62-47 (OJY11240.1)
OJY28469.1, Myxococcales_bacterium_68-20 (OJY28469.1)
OJY41850.1, Rhizobiales_bacterium_64-17 (OJY41850.1)
OJY97707.1, Xanthomonadales_bacterium_63-13 (OJY97707.1)
OLE32869.1, Alphaproteobacteria_bacterium_13_1_20CM_3_64_12 (OLE32869.1)
OQW52370.1, Proteobacteria_bacterium_SG_bin8 (OQW52370.1)
OQW61419.1, Proteobacteria_bacterium_HN_bin10 (OQW61419.1)
OQW82234.1, Proteobacteria_bacterium_ST_bin15 (OQW82234.1)
OUT40951.1, Micavibrio_sp._TMED2 (OUT40951.1)
OUT41707.1, Micavibrio_sp._TMED2 (OUT41707.1)
OXC92344.1, Achromobacter_sp._KAs_3-5 (OXC92344.1)
OYT20568.1, Nitrospira_sp._UW-LDO-01 (OYT20568.1)
OYT92862.1, Burkholderiales_bacterium_PBB3 (OYT92862.1)
OYU35087.1, Novosphingobium_sp._PASSN1 (OYU35087.1)
OYU50423.1, Rhizobiales_bacterium_PAR1 (OYU50423.1)
OYU89009.1, Bradyrhizobiaceae_bacterium_PARB1 (OYU89009.1)
OYV68052.1, Acidiphilium_sp._21-60-14 (OYV68052.1)
OYV77526.1, Chromatiales_bacterium_21-64-14 (OYV77526.1)
OYW33067.1, Rhizobiales_bacterium_12-66-7 (OYW33067.1)
OYW44627.1, Sphingomonadales_bacterium_12-68-11 (OYW44627.1)
OYX67803.1, Rhizobiales_bacterium_32-66-11 (OYX67803.1)
OYY87416.1, Rhizobiales_bacterium_35-66-30 (OYY87416.1)
OZA19119.1, Novosphingobium_sp._17-62-19 (OZA19119.1)
SCC94821.1, Thiomonas_sp._X19 (SCC94821.1)
SDP48736.1, Phyllobacterium_sp._YR620 (SDP48736.1)
SEI38697.1, Frateuria_terrea (SEI38697.1)
SFD18984.1, Thiohalospira_halophila_DSM_15071 (SFD18984.1)
SHH43511.1, Bradyrhizobium_erythrophlei (SHH43511.1)
SKB75869.1, Bosea_thiooxidans (SKB75869.1)
WP_003053833.1, Comamonas (WP_003053833.1)
WP_003081408.1, Comamonas_testosteroni (WP_003081408.1)
WP_003124517.1, Pseudomonas_aeruginosa (WP_003124517.1)
WP_003596791.1, Methylobacterium (WP_003596791.1)
WP_004142436.1, Cardiobacterium_hominis (WP_004142436.1)
WP_006410668.1, Proteobacteria (WP_006410668.1)
WP_006612758.1, Bradyrhizobium_sp._ORS_285 (WP_006612758.1)
WP_007002459.1, Roseomonas_cervicalis (WP_007002459.1)
WP_007068220.1, Fulvimarina_pelagi (WP_007068220.1)
WP_007198627.1, Hoeflea_phototrophica (WP_007198627.1)
WP_007424463.1, Acidiphilium_sp._PM (WP_007424463.1)
WP_007434588.1, Acetobacteraceae_bacterium_AT-5844 (WP_007434588.1)
WP_007435528.1, Acetobacteraceae_bacterium_AT-5844 (WP_007435528.1)
WP_007557683.1, Methylobacterium_sp._GXF4 (WP_007557683.1)
WP_007593493.1, Bradyrhizobium_sp._WSM1253 (WP_007593493.1)
WP_007602793.1, Bradyrhizobium_sp._WSM1253 (WP_007602793.1)
WP_007608224.1, Bradyrhizobium (WP_007608224.1)
WP_007774873.1, Rhizobium_sp._CF080 (WP_007774873.1)
WP_008144257.1, Bradyrhizobium_sp._YR681 (WP_008144257.1)
WP_008193122.1, Labrenzia_alexandrii (WP_008193122.1)
WP_008328810.1, Herbaspirillum_sp._GW103 (WP_008328810.1)
WP_008495729.1, Acidocella_sp._MX-AZ02 (WP_008495729.1)
WP_008837306.1, Mesorhizobium_alhagi (WP_008837306.1)
WP_008921481.1, Burkholderia_sp._H160 (WP_008921481.1)
WP_009338246.1, Afipia_sp._1NLS2 (WP_009338246.1)
WP_009763595.1, Microvirga_lotononidis (WP_009763595.1)
WP_009797848.1, Nitrobacter_sp._Nb-311A (WP_009797848.1)
WP_009850099.1, Mariprofundus_ferrooxydans (WP_009850099.1)
WP_010398862.1, Paracoccus_sp._TRP (WP_010398862.1)
WP_010405483.1, Proteobacteria (WP_010405483.1)
WP_011085868.1, Bradyrhizobium (WP_011085868.1)
WP_011384236.1, Magnetospirillum_magneticum (WP_011384236.1)
WP_011705568.1, Aeromonas_hydrophila (WP_011705568.1)
WP_011749403.1, Paracoccus_denitrificans (WP_011749403.1)
WP_011781931.1, Mycobacterium (WP_011781931.1)
WP_011801966.1, Polaromonas_naphthalenivorans (WP_011801966.1)
WP_011804686.1, Proteobacteria (WP_011804686.1)
WP_012285832.1, Caulobacter_sp._K31 (WP_012285832.1)
WP_012403444.1, Paraburkholderia_phymatum (WP_012403444.1)
WP_012428960.1, Paraburkholderia_phytofirmans (WP_012428960.1)
WP_012478227.1, Comamonas_testosteroni (WP_012478227.1)
WP_012521411.1, Phenylobacterium_zucineum (WP_012521411.1)
WP_012521993.1, Phenylobacterium_zucineum (WP_012521993.1)
WP_012589154.1, Methylocella_silvestris (WP_012589154.1)
WP_012701618.1, Azotobacter_vinelandii (WP_012701618.1)
WP_012761396.1, Ralstonia_pickettii (WP_012761396.1)
WP_012838528.1, Comamonas_testosteroni (WP_012838528.1)
WP_012975310.1, Azospirillum_lipoferum (WP_012975310.1)
WP_013217196.1, Hyphomicrobium_denitrificans (WP_013217196.1)
WP_013421069.1, Rhodomicrobium_vannielii (WP_013421069.1)
WP_013501558.1, Rhodopseudomonas_palustris (WP_013501558.1)
WP_013948688.1, Hyphomicrobium (WP_013948688.1)
WP_014007171.1, Collimonas_fungivorans (WP_014007171.1)
WP_014189331.1, Azospirillum_lipoferum (WP_014189331.1)
WP_015007431.1, Sinorhizobium_meliloti (WP_015007431.1)
WP_015447452.1, Rhodanobacter_denitrificans (WP_015447452.1)
WP_015647711.1, Rhizobiales (WP_015647711.1)
WP_015687388.1, Bradyrhizobium_sp._S23321 (WP_015687388.1)
WP_016552539.1, Rhizobium_grahamii (WP_016552539.1)
WP_017366186.1, Methylococcus_capsulatus (WP_017366186.1)
WP_017506450.1, alpha_proteobacterium_L41A (WP_017506450.1)
WP_017671698.1, Blastomonas_sp._AAP53 (WP_017671698.1)
WP_018096614.1, Sinorhizobium_meliloti (WP_018096614.1)
WP_018251256.1, Sphingomonas (WP_018251256.1)
WP_018265062.1, Methylosinus_sp._LW4 (WP_018265062.1)
WP_018389470.1, Ancylobacter_sp._FA202 (WP_018389470.1)
WP_018438405.1, Burkholderia_sp._JPY251 (WP_018438405.1)
WP_018647825.1, Bradyrhizobium_japonicum (WP_018647825.1)
WP_018700310.1, Amorphus_coralli (WP_018700310.1)
WP_018746396.1, Chitiniphilus_shinanonensis (WP_018746396.1)
WP_019169841.1, Pseudaminobacter_salicylatoxidans (WP_019169841.1)
WP_019373641.1, Melaminivora_alkalimesophila (WP_019373641.1)
WP_019404723.1, Chelatococcus (WP_019404723.1)
WP_019460585.1, Roseomonas (WP_019460585.1)
WP_019963093.1, Pannonibacter_phragmitetus (WP_019963093.1)
WP_020159242.1, Methylobacter (WP_020159242.1)
WP_020177242.1, Methyloferula_stellata (WP_020177242.1)
WP_020565243.1, Methylosarcina_fibrata (WP_020565243.1)
WP_021006610.1, Variovorax_paradoxus (WP_021006610.1)
WP_022692231.1, Sphingomonas-like_bacterium_B12 (WP_022692231.1)
WP_023680362.1, Mesorhizobium_sp._LSJC280B00 (WP_023680362.1)
WP_024298314.1, Methylosarcina_lacus (WP_024298314.1)
WP_024339814.1, Bradyrhizobium (WP_024339814.1)
WP_024501782.1, Mesorhizobium_ciceri (WP_024501782.1)
WP_024511125.1, Bradyrhizobium_sp._ARR65 (WP_024511125.1)
WP_024548629.1, Enterobacteriaceae (WP_024548629.1)
WP_024575849.1, Afipia (WP_024575849.1)
WP_024708311.1, Martelella_sp._AD-3 (WP_024708311.1)
WP_024891645.1, Luteimonas_huabeiensis (WP_024891645.1)
WP_024905523.1, Paraburkholderia_andropogonis (WP_024905523.1)
WP_024922358.1, Mesorhizobium (WP_024922358.1)
WP_025217506.1, Mannheimia_varigena (WP_025217506.1)
WP_025250114.1, Pandoraea_pnomenusa (WP_025250114.1)
WP_025513233.1, Bordetella_trematum (WP_025513233.1)
WP_025560740.1, Sphingomonas_sp._UNC305MFCol5.2 (WP_025560740.1)
WP_025758951.1, Enterobacter_cloacae (WP_025758951.1)
WP_026033868.1, Dyella_japonica (WP_026033868.1)
WP_026173578.1, Martelella_mediterranea (WP_026173578.1)
WP_026598208.1, Methylocystis_sp._LW5 (WP_026598208.1)
WP_026607165.1, Methylocapsa_acidiphila (WP_026607165.1)
WP_027059829.1, Mesorhizobium_loti (WP_027059829.1)
WP_027165725.1, Mesorhizobium_sp._WSM3224 (WP_027165725.1)
WP_027282396.1, Roseomonas_gilardii (WP_027282396.1)
WP_027302222.1, Rhodospirillales_bacterium_URHD0088 (WP_027302222.1)
WP_027315809.1, Microvirga_flocculans (WP_027315809.1)
WP_027457581.1, Proteobacteria (WP_027457581.1)
WP_027484004.1, Rhodanobacter (WP_027484004.1)
WP_027516924.1, Bradyrhizobium_sp._WSM1417 (WP_027516924.1)
WP_027535512.1, Bradyrhizobium_sp._WSM3983 (WP_027535512.1)
WP_027546446.1, Bradyrhizobium (WP_027546446.1)
WP_027551436.1, Bradyrhizobium_sp._Cp5.3 (WP_027551436.1)
WP_027551811.1, Bradyrhizobium_sp._Cp5.3 (WP_027551811.1)
WP_027580484.1, Bradyrhizobium_sp._Ai1a-2 (WP_027580484.1)
WP_028038418.1, Caulobacter_sp._URHA0033 (WP_028038418.1)
WP_028149929.1, Bradyrhizobium_japonicum (WP_028149929.1)
WP_028172270.1, Bradyrhizobium (WP_028172270.1)
WP_028195980.1, Paraburkholderia_fungorum (WP_028195980.1)
WP_028345678.1, Bradyrhizobium_elkanii (WP_028345678.1)
WP_028745737.1, Rhizobium_mesoamericanum (WP_028745737.1)
WP_028748496.1, Rhizobium_mesoamericanum (WP_028748496.1)
WP_028925544.1, Pseudonocardia_acaciae (WP_028925544.1)
WP_028931414.1, Pseudonocardia_asaccharolytica (WP_028931414.1)
WP_028969412.1, Sphingomonas_sp._URHD0057 (WP_028969412.1)
WP_028998184.1, Azohydromonas_australica (WP_028998184.1)
WP_029000096.1, Azohydromonas_australica (WP_029000096.1)
WP_029620384.1, Rhizobium/Agrobacterium_group (WP_029620384.1)
WP_029912683.1, Caulobacter_sp._UNC358MFTsu5.1 (WP_029912683.1)
WP_029923033.1, Nevskia_soli (WP_029923033.1)
WP_029934713.1, Sphingomonas_sp._UNC305MFCol5.2 (WP_029934713.1)
WP_029936494.1, Sphingomonas_sp._UNC305MFCol5.2 (WP_029936494.1)
WP_031290977.1, Sphingobium_baderi (WP_031290977.1)
WP_031382558.1, Halomonas_zincidurans (WP_031382558.1)
WP_031431534.1, Methylomicrobium_agile (WP_031431534.1)
WP_031441424.1, Sphingomonas_sp._FUKUSWIS1 (WP_031441424.1)
WP_033072973.1, Sphingopyxis_sp._MWB1 (WP_033072973.1)
WP_034338820.1, Herbaspirillum_sp._B39 (WP_034338820.1)
WP_034360082.1, Comamonas (WP_034360082.1)
WP_034372831.1, Comamonas_testosteroni (WP_034372831.1)
WP_034383208.1, Comamonas_testosteroni (WP_034383208.1)
WP_034462641.1, Afipia_sp._P52-10 (WP_034462641.1)
WP_034837630.1, Inquilinus_limosus (WP_034837630.1)
WP_035034394.1, Devosia_sp._DBB001 (WP_035034394.1)
WP_035076048.1, Caulobacter_henricii (WP_035076048.1)
WP_035509443.1, Caballeronia_jiangsuensis (WP_035509443.1)
WP_035524841.1, Hoeflea_sp._BAL378 (WP_035524841.1)
WP_036005892.1, Bradyrhizobium_yuanmingense (WP_036005892.1)
WP_036042950.1, Bradyrhizobium_yuanmingense (WP_036042950.1)
WP_037048557.1, Pseudonocardia_autotrophica (WP_037048557.1)
WP_037130399.1, Rhizobium_sp._CF394 (WP_037130399.1)
WP_037457023.1, Skermanella_stibiiresistens (WP_037457023.1)
WP_037467722.1, Sphingobium_herbicidovorans (WP_037467722.1)
WP_037535045.1, Sphingomonas_sp._RIT328 (WP_037535045.1)
WP_037535068.1, Sphingomonas_sp._RIT328 (WP_037535068.1)
WP_038034937.1, Thermopetrobacter_sp._TC1 (WP_038034937.1)
WP_038385816.1, Bradyrhizobium_elkanii (WP_038385816.1)
WP_038617320.1, Dyella_jiangningensis (WP_038617320.1)
WP_038971515.1, Bradyrhizobium_sp._CCBAU_15635 (WP_038971515.1)
WP_039152746.1, Bradyrhizobium_japonicum (WP_039152746.1)
WP_040070126.1, Pseudomonas_batumici (WP_040070126.1)
WP_040973115.1, Mesorhizobium_sp._ORS3324 (WP_040973115.1)
WP_041041637.1, Magnetospirillum_magnetotacticum (WP_041041637.1)
WP_042326591.1, Paraburkholderia_ginsengisoli (WP_042326591.1)
WP_043363239.1, Belnapia_sp._F-4-1 (WP_043363239.1)
WP_043837091.1, Roseomonas_aerilata (WP_043837091.1)
WP_044335075.1, Sphingomonas_hengshuiensis (WP_044335075.1)
WP_044499193.1, Pseudomonas_saudimassiliensis (WP_044499193.1)
WP_045836810.1, Hyphomicrobium_sp._99 (WP_045836810.1)
WP_046060493.1, Acidovorax_citrulli (WP_046060493.1)
WP_047822763.1, Massilia (WP_047822763.1)
WP_047845124.1, Caballeronia_mineralivorans (WP_047845124.1)
WP_047846869.1, Caballeronia_mineralivorans (WP_047846869.1)
WP_048250670.1, Burkholderia_cepacia (WP_048250670.1)
WP_048432890.1, Methylobacterium_platani (WP_048432890.1)
WP_048879086.1, Acidocella_aminolytica (WP_048879086.1)
WP_048892847.1, Mycobacterium_heckeshornense (WP_048892847.1)
WP_049075975.1, Achromobacter (WP_049075975.1)
WP_050399802.1, Bradyrhizobium_embrapense (WP_050399802.1)
WP_050417386.1, Azoarcus_sp._CIB (WP_050417386.1)
WP_050467349.1, Herbaspirillum_chlorophenolicum (WP_050467349.1)
WP_050478236.1, Herbaspirillum_rhizosphaerae (WP_050478236.1)
WP_050630850.1, Bradyrhizobium_viridifuturi (WP_050630850.1)
WP_053195038.1, Herbaspirillum_hiltneri (WP_053195038.1)
WP_054110882.1, Brevundimonas_sp._AAP58 (WP_054110882.1)
WP_054162797.1, Rhodopseudomonas_sp._AAP120 (WP_054162797.1)
WP_054164509.1, Rhodopseudomonas_sp._AAP120 (WP_054164509.1)
WP_054170058.1, alpha_proteobacterium_AAP38 (WP_054170058.1)
WP_054774526.1, Methylogaea_oryzae (WP_054774526.1)
WP_054933189.1, Burkholderia_sp._E7m48 (WP_054933189.1)
WP_055403080.1, Mycobacterium (WP_055403080.1)
WP_055451460.1, Thiomonas_bhubaneswarensis (WP_055451460.1)
WP_055760932.1, Sphingomonas_sp._Leaf23 (WP_055760932.1)
WP_055851869.1, Aurantimonas_sp._Leaf443 (WP_055851869.1)
WP_055893783.1, Ramlibacter_sp._Leaf400 (WP_055893783.1)
WP_055944105.1, Pseudoxanthomonas_sp._Root65 (WP_055944105.1)
WP_056253926.1, Devosia_sp._Root436 (WP_056253926.1)
WP_056409861.1, Sphingomonas_sp._Leaf226 (WP_056409861.1)
WP_056410787.1, Sphingomonas_sp._Leaf28 (WP_056410787.1)
WP_056454715.1, Sphingomonas_sp._Leaf10 (WP_056454715.1)
WP_056470418.1, Rhizobacter_sp._Root404 (WP_056470418.1)
WP_056591379.1, Mesorhizobium (WP_056591379.1)
WP_056665722.1, Pseudorhodoferax_sp._Leaf265 (WP_056665722.1)
WP_056733884.1, Phenylobacterium_sp._Root700 (WP_056733884.1)
WP_057168260.1, Mycobacterium_sp._Root265 (WP_057168260.1)
WP_057202048.1, Acidovorax_sp._Root217 (WP_057202048.1)
WP_057269410.1, Acidovorax_sp._Root219 (WP_057269410.1)
WP_057380600.1, Pseudomonas_aeruginosa (WP_057380600.1)
WP_057591327.1, Variovorax_paradoxus (WP_057591327.1)
WP_057750918.1, Bradyrhizobium_manausense (WP_057750918.1)
WP_057943316.1, Lysobacter_gummosus (WP_057943316.1)
WP_058096656.1, Paracoccus_sp._MKU1 (WP_058096656.1)
WP_058322216.1, Sinorhizobium_sp._GL28 (WP_058322216.1)
WP_058350427.1, Caulobacter_vibrioides (WP_058350427.1)
WP_058389181.1, Roseomonas_mucosa (WP_058389181.1)
WP_058428038.1, Pseudomonas_syringae (WP_058428038.1)
WP_058641530.1, Pseudacidovorax_intermedius (WP_058641530.1)
WP_058642961.1, Pseudacidovorax_intermedius (WP_058642961.1)
WP_058733446.1, Sphingomonas_sanguinis (WP_058733446.1)
WP_058733678.1, Sphingomonas (WP_058733678.1)
WP_058738154.1, Novosphingobium_barchaimii (WP_058738154.1)
WP_060349297.1, Burkholderia_cepacia (WP_060349297.1)
WP_060911187.1, Bradyrhizobium_diazoefficiens (WP_060911187.1)
WP_060977401.1, Proteobacteria (WP_060977401.1)
WP_061499185.1, Ramlibacter_tataouinensis (WP_061499185.1)
WP_061499381.1, Acetobacter_malorum (WP_061499381.1)
WP_061534485.1, Collimonas_arenae (WP_061534485.1)
WP_062115566.1, Collimonas_pratensis (WP_062115566.1)
WP_062128002.1, Paraburkholderia_monticola (WP_062128002.1)
WP_062146024.1, Caulobacter_henricii (WP_062146024.1)
WP_062167673.1, Burkholderia_sp._PAMC_26561 (WP_062167673.1)
WP_062205677.1, Aureimonas_sp._AU12 (WP_062205677.1)
WP_062260364.1, Caballeronia_megalochromosomata (WP_062260364.1)
WP_062459839.1, Rhizobium_sp._Leaf306 (WP_062459839.1)
WP_062541343.1, Mycobacterium_celatum (WP_062541343.1)
WP_062577944.1, Rhizobium_sp._Leaf321 (WP_062577944.1)
WP_063498531.1, Burkholderia_sp._OLGA172 (WP_063498531.1)
WP_063500581.1, Burkholderia_sp._OLGA172 (WP_063500581.1)
WP_063688555.1, Bradyrhizobium_stylosanthis (WP_063688555.1)
WP_063701972.1, Bradyrhizobium_sp._BR_10245 (WP_063701972.1)
WP_063984572.1, Bradyrhizobium_sp. (WP_063984572.1)
WP_064254828.1, Sinorhizobium_americanum (WP_064254828.1)
WP_064310212.1, Sphingomonas_sp._TDK1 (WP_064310212.1)
WP_064518861.1, Buttiauxella_gaviniae (WP_064518861.1)
WP_064985858.1, Mesorhizobium_loti (WP_064985858.1)
WP_064994011.1, Mesorhizobium_sp._WSM1497 (WP_064994011.1)
WP_066173444.1, Hoeflea_olei (WP_066173444.1)
WP_066268629.1, Hydrogenophaga_palleronii (WP_066268629.1)
WP_066278872.1, Blastomonas_sp._CCH1-A6 (WP_066278872.1)
WP_066483872.1, Comamonas_terrae (WP_066483872.1)
WP_066532445.1, Comamonas_terrigena (WP_066532445.1)
WP_066608997.1, Sphingobium_czechense (WP_066608997.1)
WP_066637090.1, Bordetella_sp._H567 (WP_066637090.1)
WP_066882139.1, Mycobacterium (WP_066882139.1)
WP_066941990.1, Mycobacterium_sp._1554424.7 (WP_066941990.1)
WP_067141207.1, Mycobacterium_sp._1245852.3 (WP_067141207.1)
WP_067231703.1, Mycobacterium_sp._852002-51163_SCH5372311 (WP_067231703.1)
WP_067324717.1, Mycobacterium (WP_067324717.1)
WP_067338935.1, Mycobacterium_sp._1245111.1 (WP_067338935.1)
WP_067584260.1, Endozoicomonas_ascidiicola (WP_067584260.1)
WP_067620459.1, Novosphingobium_sp._FSW06-99 (WP_067620459.1)
WP_067907531.1, Novosphingobium_fuchskuhlense (WP_067907531.1)
WP_067963854.1, Aminobacter_aminovorans (WP_067963854.1)
WP_068075203.1, Novosphingobium_lentum (WP_068075203.1)
WP_068178621.1, Rhizobiales_bacterium_CCH3-A5 (WP_068178621.1)
WP_068385844.1, Rhizobium_sp._AC27/96 (WP_068385844.1)
WP_068391023.1, Rhizobium_sp._AC27/96 (WP_068391023.1)
WP_068504780.1, Magnetospirillum_moscoviense (WP_068504780.1)
WP_068644980.1, Variovorax_soli (WP_068644980.1)
WP_068875102.1, Phenylobacterium (WP_068875102.1)
WP_068877242.1, Phenylobacterium (WP_068877242.1)
WP_068877942.1, Phenylobacterium (WP_068877942.1)
WP_069004274.1, Candidatus_Thiodiazotropha_endoloripes (WP_069004274.1)
WP_069051353.1, Blastomonas_sp._RAC04 (WP_069051353.1)
WP_069261262.1, Burkholderia_metallica (WP_069261262.1)
WP_069396112.1, Mycobacterium_shimoidei (WP_069396112.1)
WP_069436876.1, Methyloceanibacter_methanicus (WP_069436876.1)
WP_069443064.1, Methyloceanibacter_stevinii (WP_069443064.1)
WP_069750404.1, Burkholderia_stabilis (WP_069750404.1)
WP_069956695.1, Magnetovibrio_blakemorei (WP_069956695.1)
